cable,colour,mm2,from,to,status,evidence,notes
140,GL,1.0,22:fuse 5,64 seat heating (via 58 (E12) and 59),traced,"labels at fuse 5, at 58 (E12) and at 59",seat heating element with thermostat
380a,GL,1.0,22:fuse 5,137 throttle valve switch,traced,labels at fuse 5 and at 137 (book photo),fuel boost: switch closes at 62 degrees of throttle (PDF p.24)
103,BL,2.5,22:fuse 6,35:ventilator fan switch,traced,"label@2955,3250",
110,GL,1.5,22:fuse 7,38:30/51,traced,"label@3000,2580",radiator fan relay contact
113,RD,0.75,22:fuse 7,38:86,traced,"label@3025,2553",radiator fan relay coil
210,RD,2.5,22:fuse 8,113:30,traced,"label@3050,2528",heated rear window relay
126,BL,1.0,22:fuse 9,"58 (B11): 126a BL to 48, 127 BL to 49, 160 GL to the interior lights",traced,"book photos 24 Sep: labels at fuse 9, along the route and at 58 (B11)","fuse 9 lid: cigar lighter, compartment light, clock"
260,GR,1.5,22:fuse 10,102:30,traced,"label@3300,2465; book photos source/photos/book-P6b-102-pump-relay-FUEL.jpg (1979) and book-P6a-102-pump-relay.jpg (1980): straight down from 102:30 (bottom wall, under 87)",fuel pump relay
70,RD/VT,1.0,22:fuse 11,23:49,traced,labels at both ends,indicator/hazard flasher unit
131,RD,1.0,22:fuse 12,29,traced,label at switch 29,brake light switch
123b,GL,1.5,147,5:15,car,"label between 147 and coil; car: yellow at 147’s 0.6 Ω end and at the coil’s + (photos source/photos/car-147-ballast-resistor.jpg and car-5-coil.jpg, 25 Sep 2026)",ballast resistor to coil +. The book prints GN/VT 1.5; on the car it is yellow at both ends (a 1980 99 Turbo has yellow there too)
123d,GN/VT,1.0,58 (A4) pin 4,146:15,traced,labels at coil and at 146; book photo IMG_4729 (passes under the coil); scan walk; 1977 Turbo addendum p.53 (371-2),control unit +15 before the ballast resistor; the 1977 diagram prints 0.75
390,,,6:sender,146:31d,traced,label at 146,"shielded sender cable, no colour given"
391,,,6:sender,146:7,traced,label at 146,"shielded sender cable, no colour given"
392,SV,0.75,146:shield,earth,traced,label at 146,cable shield
393,SV,1.5,146:31,earth,traced,label at 146,
124,BL,1.5,146:16,5:1 (coil terminal 1),car,"scan, 24 Sep: zoom shows it ending at the coil shoulder marked 1; car, check E2: blue on the coil’s − (terminal 1) (25 Sep 2026); 1977 Turbo addendum p.53 (371-2) (124 BL 1.5); 1980 diagram, book photo source/photos/book-1980-146-coil-124.jpg (124 BL 1.5, clear)","coil primary, switched by the control unit; the 1979 print’s number is unreadable (read as 121 before), the 1977 Turbo and 1980 diagrams print 124 BL 1.5 clearly"
284,BL,0.75,146:16,102,traced,labels at 146 and 102; book photos source/photos/book-P6b-102-pump-relay-FUEL.jpg (1979) and book-P6a-102-pump-relay.jpg (1980): reaches the right circle of 102’s bottom pair on a diagonal,"engine-speed signal to the pump relay; 102’s bottom pair is printed with the label 31, but it is the rpm input (probably DIN 1): 146:16 switches the coil, so it cannot be earth (a misprint, probably)"
394,GN/VT,1.0,147,89:87a,traced,label at 147,bypasses the ballast resistor while cranking (PDF p.324-325)
122a,GL,2.5,89:87,4:50,traced,label at starter,start relay output to starter solenoid
272,BR,0.75,4:16,94,traced,labels at starter and at 94,live while cranking; via 58 (A4) pin 3
273,GR,0.75,92,94,traced,label at 92,the two thermo-time switch wires swap places on the drawing
271,RD,1.0,92,89:87 via 58 (A4),traced,label at 92,"thermo-time switch heater, live while cranking; via 58 (A4) pin 1, labelled GN on the relay side"
377,GN/VT,0.75,20:15 via 58 (A4) pin 4,144,traced,label at 144,"ignition 15 feed to the overboost switch, spliced with 123 at pin 4"
378,GN/VT,0.75,144,102:15,traced,label at 144; book photos source/photos/book-P6b-102-pump-relay-FUEL.jpg (1979) and book-P6a-102-pump-relay.jpg (1980): printed along the lead into 102:15 (top wall),overboost cut
261,GR,2.5,102:87,103:+,traced,book photos 24 Sep: labels along the route and at the pump; scan p.407 and book photos source/photos/book-P6b-102-pump-relay-FUEL.jpg (1979) and book-P6a-102-pump-relay.jpg (1980): the diagonal from 87,via 58 (B11) and 3-pole connector 57 (C12)
262,SV,2.5,103,earth,traced,label at pump,
261a,GR,0.75,102:87,95 and 96 via 58 (A4) pin 2,traced,"label on run; scan p.407 and book photos source/photos/book-P6b-102-pump-relay-FUEL.jpg (1979) and book-P6a-102-pump-relay.jpg (1980): the lead straight up from 87, labelled 261a GR 0.75 further on",pump relay output to both injection heaters
265,GR,0.75,261a,95:+,traced,label at 95,
266,SV,0.75,95,earth,traced,label at 95,
267,GR,0.75,102:87 via 58 (A4) pin 2,96:+,traced,labels at 96 and 58,shares pin 2 with 261a/265: fed from the pump relay output
268,SV,0.75,96,earth,traced,label at 96,
263,SV,0.75,102:31,21:85,traced,label at 102; scan p.407; book photo IMG_4720; 1977 Turbo addendum p.53 (371-2); book photos source/photos/book-P6b-102-pump-relay-FUEL.jpg (1979) and book-P6a-102-pump-relay.jpg (1980): enters 102’s left wall on a diagonal aimed at the upper 31 circle,"the join is hidden under relay 21’s border (probably 85); at 102 the end is hidden in the border, probably 31, shared with 100"
201,SV,0.75,89:85,158,traced,label at 89; 1977 Turbo addendum p.53 (371-2),coil earthed directly: no gear-selector switch; to joint 158 probably (the 1979 scan trace reaches the joint)
282,GL,1.0,89:87,73:3,traced,"labels at 73 and 89; pin 3: book photo IMG_4717 read with a reference photo of the same TSI socket (same on 99 and 900: source/ref/c900-tsi-socket.jpg), which puts start and +15 next to each other in this order",service outlet start terminal (lets a test instrument crank)
283,GN/VT,0.75,20:15 via 58 (A4) pin 4,73:4,traced,"label at 58; pin 4: book photo IMG_4717 read with a reference photo of the same TSI socket (same on 99 and 900: source/ref/c900-tsi-socket.jpg), which puts start and +15 next to each other in this order",ignition 15 to the service outlet
281,SV,1.5,73:2,158,traced,book photo IMG_4717 (label at 73); ground pin per the reference photo of the TSI socket; book photo IMG_4720 (its riser on 158 T1; the label is read at 73); 1977 Turbo addendum p.53 (371-2),"service outlet earth, to earth joint 158"
284a,BL,0.75,73:5,102,traced,book photo IMG_4717 (label at 73); scan trace to the 284 junction; tach pin per the reference photo of the TSI socket; book photos source/photos/book-P6b-102-pump-relay-FUEL.jpg (1979) and book-P6a-102-pump-relay.jpg (1980): rises straight into the left circle of 102’s bottom pair (no splice on 284 outside the relay),"engine-speed signal to the service outlet; from 102’s bottom pair, which is drawn joined to 284’s circle; 204 GL to the tachometer leaves 73:5"
183,GL,1.0,45,47:9,traced,labels at 45 and near 47:9,temperature gauge; via 58 (A4) pin 6
184,BL,1.0,44,47:11,traced,labels at 44 and at 47:11,oil warning lamp; via 58 (A4) pin 5
185,GR,0.75,46,47:3,traced,labels at 46 and at 47:3,fuel gauge; via 3-pole connector 57
186,BR,0.75,46,47:12,traced,labels at 46 and at 57,fuel warning lamp; via 3-pole connector 57
71,GN/VT,0.75,23:C,47:6,traced,labels at 47:6 and at 23,direction indicator repeater lamp
179,SV,0.75,47:4,earth,traced,label at 47:4,
187,VT,0.75,47:5,"58 (B9), then 188 VT",traced,book photos 24 Sep: labels at 47:5 and at 58 (B9),brake warning lamp; earthed by handbrake switch 43 or brake failure switch 42
182,BR/VT,0.75,fuse 4 (off 85 BR at 58 (D8)),?,traced,book close-up (grid 9): branches off the fuse side of the 85 BR pin at 58 (D8),instrument supply; matches the fuse 4 lid label (instruments)
203,BR,0.75,110,116 heated window switch,traced,"book close-ups, 1979 page (same on 1980): line from 110 runs to the third terminal of 116; 1979 scan: 203 and 214 fan out from the same switch terminal","printed BR at the tachometer and BL at switch 116 in both 1979 and 1980, a misprint; probably the tachometer + supply, looped from the switch feed (214 BL)"
341,SV,0.75,122:5,earth,traced,label at 122; radio page,radio earth
342,BR/VT,0.75,122:2,131 +,car,"label at 122; radio page; car, check I1: brown/white and green/white at the left-hand speaker (photo source/photos/car-131-left-speaker.jpg, 25 Sep 2026)","left speaker + on this car and the radio page (the Turbo diagram: right, 130); via 59"
343,GN/VT,0.75,122:3,131 -,car,"label at 122; radio page; car, check I1: brown/white and green/white at the left-hand speaker (photo source/photos/car-131-left-speaker.jpg, 25 Sep 2026)","left speaker - on this car and the radio page (the Turbo diagram: right, 130); via 59"
344,RD/VT,0.75,122:6,130 +,car,"label at 122; radio page; car, check I1: red/white and blue/white at the right-hand speaker (photo source/photos/car-130-right-speaker.jpg, 25 Sep 2026)","right speaker + on this car and the radio page (the Turbo diagram: left, 131); via 59"
345,BL/VT,0.75,122:7,130 -,car,"label at 122; radio page; car, check I1: red/white and blue/white at the right-hand speaker (photo source/photos/car-130-right-speaker.jpg, 25 Sep 2026)","right speaker - on this car and the radio page (the Turbo diagram: left, 131); via 59"
126a,BL,1.0,58 (B11),48,traced,label at 48,cigarette lighter feed
127,BL,0.75,48 (126a feed),49,traced,book photos 24 Sep: joins the lighter feed,"clock feed, fuse 9 via 126a"
215,SV,0.75,48,earth,traced,label at 48,lighter earth; the heated window switch lamp shares it
128,SV,0.75,49,earth,traced,label at 49,
73,GN,1.0,23:49a,25:+,traced,labels at 23 and 25; book photo of the same switch from another year’s diagram (source/photos/book-other-year-hazard-switch-25.jpg) (73 GN 1.0 onto + on a diagonal),flasher output into the hazard switch
74,GN,1.0,25:+,24:54,traced,book photo IMG_4724 (1979: second digit blotted); 1977 Turbo addendum p.53 (371-2) (74 GN 1.0); book photo of the same switch from another year’s diagram (source/photos/book-other-year-hazard-switch-25.jpg) (74 GN 1.0),"hazard switch + to indicator switch 24:54; the 1979 print’s second digit is blotted, two other prints read 74 clearly"
67,BL/VT,1.0,25:L,24:L,traced,label between 24 and 25,hazard feed to the left side
68,RD/VT,1.0,25:R,24:R,traced,label between 24 and 25,hazard feed to the right side
75,BL/VT,1.0,24:L,58 (B9) via 58 (D8) pin 11,traced,book photo IMG_4723 (labelled on both sides of 58 (D8)); 1977 Turbo addendum p.53 (371-2),"indicator switch output, left; becomes 77 (front) and 76 (rear) at 58 (B9)"
78,RD/VT,1.0,24:R,58 (B9) via 58 (D8) pin 10,traced,book photo IMG_4723 (labelled on both sides of 58 (D8)); 1977 Turbo addendum p.53 (371-2),"indicator switch output, right; becomes 80 (front) and 79 (rear) at 58 (B9)"
77,BL/VT,1.0,75 at 58 (B9),27 front L,traced,label at 58 (B9) and at lamp; book photo IMG_4723 (24’s outputs printed 75 BL/VT and 78 RD/VT at 58 (D8)); 1977 Turbo addendum p.53 (371-2),24’s own outputs are 75 and 78
80,RD/VT,1.0,78 at 58 (B9),28 front R,traced,label at 58 (B9) and at lamp; book photo IMG_4723 (24’s outputs printed 75 BL/VT and 78 RD/VT at 58 (D8)); 1977 Turbo addendum p.53 (371-2),24’s own outputs are 75 and 78 (the 1979 78 is smudged; the 1977 diagram prints 78)
76,BL/VT,1.0,58 (B9),27 rear L,traced,labels on the far side of 58 (B9) and at the rear clusters,route to the rear not traced
79,RD/VT,1.0,58 (B9),28 rear R,traced,labels on the far side of 58 (B9) and at the rear clusters,route to the rear not traced
52,SV,0.75,25:lamp,earth,traced,label at 25,"hazard switch lamp earth, via 59"
132,RD,1.0,29,30 L (via 58 (E12)),traced,labels at 29 and 58 (E12); book photos IMG_4727/IMG_4728; 1977 Turbo addendum p.53 (371-2) (132 RD via 58 to the left cluster’s 30),brake light switch output
133,RD,0.75,30 L,30 R,traced,labels at the rear clusters; book photos IMG_4727/IMG_4728; 1977 Turbo addendum p.53 (371-2) (133 runs from the left cluster to the right),
136,VT,1.0,31,32 L,traced,labels at 31 and left cluster,
137,VT,0.75,32 L,32 R,traced,label at right cluster; book photos IMG_4727/IMG_4728; 1977 Turbo addendum p.53 (371-2) (137 runs from the left cluster to the right),
138,BL,1.0,"31 (switched terminal, with 136)",58 (E2) pin 4 via 58 (E12) row 4,traced,"book photo IMG_4728; scan p.407; 1977 Turbo addendum p.53 (371-2); car, checks E16 and F4 (reverse lights on fuse 3); book photo P5 (source/photos/book-1979-D1-E2-horns-39-front-left.jpg)",reversing feed to the front housings’ side back-up lights
139,VT,0.75,58 (E2) pin 4,13 L lower bulb (side back-up light; 1977 legend 119),traced,"book photo IMG_4715; scan p.407; 1977 Turbo addendum p.53 (371-2); car, check E16; book photo P5 (source/photos/book-1979-D1-E2-horns-39-front-left.jpg)",
139a,VT,0.75,58 (E2) pin 4,13 R lower bulb,traced,"book photo IMG_4714; scan p.407; 1977 Turbo addendum p.53 (371-2); car, check E16; book photo P5 (source/photos/book-1979-D1-E2-horns-39-front-left.jpg)","same pin as 139, on 138’s side of the connector"
360,SV,0.75,13 L housing (common earth),"earth (main earth star, D3)",traced,book photo IMG_4715; scan p.407 (label in the grid C2 bundle); 1977 Turbo addendum p.53 (371-2); book photo P5 (source/photos/book-1979-D1-E2-horns-39-front-left.jpg),"earth of the left front housing: parking bulb, indicator 27 and the lower bulb"
361,SV,1.0,13 R housing (common earth),"63 (earth terminal, with 92 SV)",traced,book photos IMG_4714 and IMG_4710 (label at 63); scan p.407; 1977 Turbo addendum p.53 (371-2),"earth of the right front housing: parking bulb, indicator 28 and the lower bulb; on to joint 158 through 92 SV"
220,BR/VT,0.5,22:fuse 5,"117 (corner lamp switch, feed)",open,"1977 Turbo addendum p.53 (371-2); car, check E19 (dash switch, fuse 5; independent of the indicators)","118 is the second filament of the front parking bulb; the 1979 print omits this circuit; colours from the 1977 diagram, E19b checks them"
221,BR/VT,0.5,117 (output),118 L via 58,open,"1977 Turbo addendum p.53 (371-2); car, check E19 (dash switch, fuse 5; independent of the indicators)","118 is the second filament of the front parking bulb; the 1979 print omits this circuit; colours from the 1977 diagram, E19b checks them"
222a,BR/VT,0.5,58 (pin with 221),118 R,open,"1977 Turbo addendum p.53 (371-2); car, check E19 (dash switch, fuse 5; independent of the indicators)","118 is the second filament of the front parking bulb; the 1979 print omits this circuit; colours from the 1977 diagram, E19b checks them"
221a,BR/VT,0.5,117 (middle contact),?,open,"1977 Turbo addendum p.53 (371-2); car, check E19 (dash switch, fuse 5; independent of the indicators)","not followed; on the 1977 print it probably runs into light switch 10; 118 is the second filament of the front parking bulb; the 1979 print omits this circuit; colours from the 1977 diagram, E19b checks them"
223,SV,0.75,117 (pilot lamp),earth,open,"1977 Turbo addendum p.53 (371-2); car, check E19 (dash switch, fuse 5; independent of the indicators)","pilot lamp earth; 118 is the second filament of the front parking bulb; the 1979 print omits this circuit; colours from the 1977 diagram, E19b checks them"
84,GN/VT,0.75,61,83,traced,labels at 61 and 83,interval control
88,BL,0.75,61,83,traced,labels at 61 and 83,
88a,BL/VT,0.75,83,62:2 (park contact),traced,"scan trace from 83 to the motor, and back",interval relay park feedback from the wiper motor (probably)
91,GL,0.75,61,83,traced,labels at 61 and 83,washer switch to the interval relay
91a,GL,0.75,83,63:+,traced,labels at 83 and 63,washer pump feed; the relay also runs the wipers while washing
86,RD,1.0,61,62:5 (via 58 (D8)),traced,"scan, 24 Sep: straight-line follow both ways between the switch-side label and motor terminal 5",wiper motor speed wire
87,GN,1.0,61,62:3 (via 58 (D8)),traced,"scan, 24 Sep: straight-line follow both ways between the switch-side label and motor terminal 3",wiper motor speed wire
83,SV,0.75,83,158,traced,label at 83; book photo IMG_4718 (branch d); 1977 Turbo addendum p.53 (371-2),
89,SV,0.75,62:1,62 (housing),traced,label at 62; scan p.407; 1977 Turbo addendum p.53 (371-2) (89 SV from terminal 1 back to the housing),"returns to the motor housing, from where 90 BL goes to joint 158 (scan; 1977 Turbo addendum p.53 (371-2))"
92,SV,1.0,63,158,traced,label at 63; book photos IMG_4718/IMG_4720; scan p.407,the 1977 diagram takes it to the main earth star instead; 361 SV from the right front lamp housing shares 63’s earth terminal
95a,RD,0.75,67:88,66 (via 123),traced,labels at 67 and at 123,headlight wiper motor feed
95b,RD,0.75,95a,"66 (second, via 123)",traced,book photos 24 Sep: joins 95a at connector 123,feed to the second headlight wiper motor
97,BR,0.75,upper 123 pin 3,lower 123 pin 1,traced,scan and book close-ups: runs between the two plugs,"links the two headlight wiper motors, carrying the control wire on"
98,GL,0.75,67:88a,upper 123 pin 1,traced,scan and book close-ups: relay 88a to the upper plug,"motor control wire, switched by the relay (probably)"
99,SV,0.75,66,earth,traced,label at 123,
99a,SV,0.75,66,earth,traced,label at 123,
100,SV,0.75,67:87,102:31 (earth),traced,scan trace; book close-up of grid 5-6; book photos source/photos/book-P6b-102-pump-relay-FUEL.jpg (1979) and book-P6a-102-pump-relay.jpg (1980): horizontal into 102’s upper-left circle labelled 31,"relay 67’s coil earth (through 100a) and contact 87, to pump relay 102:31"
111,GN,1.5,38:87,37 (via 59),traced,book photos 24 Sep: route from 38:87 to connector 59 at the fan,radiator fan motor feed; route not fully traced
114,SV,0.75,38:85,60,traced,label at 38,relay coil to the thermostat switch
114a,BL,0.75,60,39,traced,label at 39 side of connector 60; 1977 Turbo addendum p.53 (371-2) (114a SV 0.75); book photo P5 (source/photos/book-1979-D1-E2-horns-39-front-left.jpg),thermostat switch earths the relay coil; the 1977 Turbo diagram prints 114a SV (black); E14 checks the car
105,GL,2.5,35:8,36 (via 57),traced,labels at 35; trace ends at 36,"heater fan, full speed"
104,GR,1.0,35:6,36 via 57 and resistor 74,traced,"book photos 24 Sep: 35:6 to 57, through 74, back through 57","heater fan, low speed through resistor 74"
107,SV,2.5,36 (via 57 (F11) row 3),158,traced,book photos IMG_4725 (at 57 (F11) row 3) and IMG_4718/IMG_4720 (label at 158); scan p.407; 1977 Turbo addendum p.53 (371-2),heater fan motor return
211,GL,2.5,113:87,115,traced,labels at 113 and 115,heated rear window feed
212,SV,0.75,113:85,"158 (earth joint, D6)",traced,label at 113; book photos IMG_4718/IMG_4720; 1977 Turbo addendum p.53 (371-2),joins 33 SV
3,SV,2.5,158,"earth (main earth star, D3)",traced,scan p.407; 1977 Turbo addendum p.53 (371-2),earth joint 158 to the central earth star
213,BL,0.75,116,113:86,traced,book photos 24 Sep: labels at 116 and 113,switch end not traced
141,SV,1.0,64,earth,traced,label at 59,seat heating earth
150,GL,0.75,60,59 (A8): seat and belt contacts,traced,book close-ups: runs from 60 (A7) to 59 (A8),"+ for the seat belt warning, fuse 5 via 140 GL; the lamp lead at 59 (C12) is also labelled 150 GL"
161,GL,0.75,52 (fed by 160 GL),"57, then 50; 163 GL to 55",traced,"book close-up (grid 9-10), 1979: labels on both sides of 57","interior light +, fuse 9"
164,BL,0.75,52,"57, then 50",traced,"book close-up (grid 9-10), 1979: labels on both sides of 57",from the ignition switch light 52 to the interior light 50
167,SV,0.75,53 (to 60); and 57 (to 50),60; 50,traced,"book close-up (grid 9-10), 1979: labelled at 53 and between 57 and 50","interior light switch circuit, through 60 and 57 (167a between them)"
167a,SV,0.75,53 (via 60),57,traced,"book close-up (grid 9-10), 1979: label between 60 and 57",switched earth; connection not traced
169,SV,0.75,53,58 (A9),traced,"book close-up (grid 9-10), 1979: drops from 53 to 58 (A9)",meets the door switch wires 170/171 across the connector (probably)
170,SV,0.75,54,58 (A9),traced,"book close-up (grid 9-10), 1979: label at 54 and at 58 (A9)",door switch
162,SV,0.75,50,51 dome light (mirror),traced,"book close-up (grid 9-10), 1979: labels between 50 and 51",not traced
165,SV,0.75,50,51 dome light (mirror),traced,"book close-up (grid 9-10), 1979: labels between 50 and 51",not traced
163,GL,0.75,161 (after 57),55 luggage compartment light,traced,"book close-up (grid 9-10), 1979: branches off 161 GL",
166,BL,0.75,55,56 luggage compartment light switch (to earth),traced,"book close-up (grid 9-10), 1979: labels at 55 and 56",luggage light to its switch
168,SV,0.75,"70, 71, 69",earth,traced,"book photos 24 Sep: contacts 69, 70, 71 to earth",
381,SV,0.75,140:31,earth,traced,label at 140 (book photo),
382,BL,0.75,140:W,142 solenoid valve (E3),car,"labels at 140 (book photo) and at 142; car, check E12: blue on 142’s feed contact with grey 383 (25 Sep 2026)",fuel boost above about 130 km/h (PDF p.33)
383,GR,0.75,137,142 (with 382 on one contact),car,"scan traced from both ends (137 top terminal to 142’s second lead); Turbo addendum p.240-1 figure S 6266; car, check E12: grey and blue on the same contact of 142 (25 Sep 2026)",throttle switch output: energises enrichment valve 142 above about 62° throttle
188,VT,0.75,58 (B9),"43 handbrake switch, 42 brake failure switch",traced,"book photos 24 Sep: labels at 58, 43 and 42",brake warning lamp return
192,SV,0.75,158,42 (brake warning switch),traced,book photo IMG_4718; 1977 Turbo addendum p.53 (371-2),to 42’s lower contact
204,GL,0.75,"ECU speed signal (with 284, 284a)",110 tachometer,traced,book photos 24 Sep: labels near the TSI bundle and at 110,tachometer signal
214,BL,0.75,116,?,open,book photos 24 Sep: label at 116,"feed into switch 116; shares the switch terminal with 203 (tachometer supply), per the 1979 scan; source not traced; runs down to row E and meets a line toward connector 58 (E12): join or crossing not clear"
151,BR,0.75,72,"59 (C12), then 156 BR",traced,book photos 24 Sep: labels at 72 and 59,
156,BR,0.75,59 (C12),"59 (A8): seat contact 69, belt contacts 70/71",traced,book photos 24 Sep: labels at both connectors and at 58 (A9),from the contacts to the lamp (probably + through the contacts)
157,SV,0.75,59 (C12),earth (grid 10),traced,book close-ups: 157 SV 0.75 labelled at 59 (C12) and at the earth point in grid 10,seat belt lamp return (probably)
90,BL,1.0,62 (housing),158,traced,book photos 24 Sep: label at 62; scan p.407 (probably: a scan seam on the run); 1977 Turbo addendum p.53 (371-2) (90 BL from 62’s housing corner to the joint),"wiper motor 62’s earth return: from the housing corner, where 89 SV from terminal 1 returns, to joint 158"
160,GL,0.75,"58 (B11), from 126 BL (fuse 9)",58 (A9),traced,"book close-ups, 1979 page (same on 1980): 160 GL leaves the pin 126 BL enters",interior light + feed from fuse 9 (lid: compartment light)
95,RD,0.75,65 (3 A fuse),67:88,traced,scan and book close-ups,relay supply after the 3 A fuse; 88 also feeds 95a to the motors
